_1,_2,_3
57588,29556,1
16922,1155,1
88166,9123,1
0,26907,1
29204,836,4
8820,26163,1
836,15664,4
15664,15664,5
59642,15664,1
14005,12202,1
29799,2576,1
462,9215,1
8560,29862,1
21,29862,1
29952,29952,1
29960,29960,2
10717,10717,1
29587,30006,1
28231,28231,3
18236,25429,1
10824,10824,2
24895,24895,10
19161,30308,1
38874,28628,1
381,29886,1
29587,30363,2
30408,29587,1
16853,30562,1
30408,14586,1
30635,14586,3
836,9123,6
7763,30846,1
30846,30846,1
836,30907,2
30907,30907,2
29644,29644,1
1114,16853,1
31016,15885,1
30962,26814,4
26814,26814,6
5055,8820,2
29960,24895,1
69263,10620,2
17177,17177,7
19161,19161,10
29534,29534,1
31822,31822,3
29217,8710,1
19161,8710,1
31781,9085,1
18818,31627,1
31627,31627,1
14904,31948,1
8560,31948,1
836,32068,1
836,26522,5
32157,32157,3
32148,32148,1
381,30335,1
381,32145,1
381,23850,2
23850,23850,3
32169,32169,2
32535,32535,2
32546,32546,1
381,31676,2
381,32588,1
32588,32588,1
14904,13505,1
381,23305,1
24119,24119,9
29587,31434,1
32661,31434,1
8650,31434,1
29428,29428,7
15412,32795,1
14904,32875,1
45374,32904,1
836,32926,1
33020,32230,1
32230,32230,2
836,33050,1
31179,31179,2
836,31179,1
53173,31179,1
33202,12515,3
33382,26899,1
33404,33404,2
1256,33404,1
33476,23305,2
33377,33377,2
8501,8704,1
33807,33807,4
17305,17305,5
33685,33685,1
16680,16680,3
23305,31093,1
34037,34037,2
381,34063,1
34063,34063,1
27526,33540,2
31434,33540,1
24077,34165,3
33301,33301,2
381,10671,1
381,17271,1
34333,17271,1
17271,17271,2
13100,16922,1
16922,16922,1
18641,18641,2
31154,35484,1
33646,35484,1
33367,33367,1
836,35605,1
5247,75,1
33198,17696,1
35697,35697,1
24011,24011,1
35812,35812,3
37022,37022,2
37054,33701,1
37054,37054,1
37200,37200,2
24000,37289,1
37301,15527,2
15527,15527,20
21262,21262,1
32280,32280,5
29587,37548,2
13235,13235,4
37574,1330,1
24000,37059,1
8432,37059,2
37059,37059,8
20327,20327,2
37814,37814,6
37866,836,2
8432,31599,1
836,37678,1
37678,37678,1
58042,27426,1
98563,27426,1
2968,33495,1
37736,2932,1
38124,14675,2
8820,14750,2
381,37604,1
38257,38257,2
33137,35541,1
381,35541,1
29575,38261,1
381,32587,1
37999,24593,1
34028,34028,10
20766,20766,2
381,20766,3
32850,32850,2
836,32850,1
381,38440,2
38440,38440,1
38306,38306,2
38446,38339,1
38584,38584,1
