_1,_2,_3
86325,10902,1
23679,2932,1
23679,12515,1
381,33404,1
31245,33281,1
33362,33390,2
33390,33390,1
27114,27114,5
33613,33613,1
836,33377,4
32686,32429,1
32429,32429,2
53336,32429,1
32686,33838,1
33838,33838,10
381,17305,2
381,34037,4
924,33838,2
34165,34165,3
29217,33301,3
33838,8370,5
35481,35481,4
35456,7922,1
7922,7922,2
35656,35605,1
2968,35697,1
29587,35710,1
35710,35710,1
4668,924,2
35738,35738,1
836,35812,2
36935,24000,1
29767,35714,1
34153,36958,1
17538,17538,7
24000,37022,2
37059,37022,1
836,37022,2
31086,33701,1
6648,37054,1
17538,37225,1
34153,37200,1
37288,37288,1
33242,32805,1
32805,32805,1
17538,21471,1
18626,37278,1
31599,23305,3
381,32280,5
37548,37548,13
23437,23437,3
37590,381,2
1330,1330,63
18418,13736,1
381,20327,2
15533,15533,7
28175,15533,1
57966,37814,1
33838,2576,1
29905,31599,1
33194,27426,1
381,33495,1
29575,37986,1
37986,37986,13
0,21560,1
21254,21254,17
2968,37604,1
15527,37604,1
381,38257,2
434,34028,2
381,38377,1
836,38306,5
924,38472,1
95824,23710,1
17538,18418,1
38339,38339,12
17538,4841,1
4841,4841,1
836,37330,2
38665,23983,1
23983,23983,1
38678,38678,1
2961,2961,1
34028,38734,1
38395,17290,1
35809,35809,2
38983,13748,1
8820,28081,1
28175,17208,1
5055,39158,1
381,39206,1
12533,12533,5
836,38047,1
38887,38887,79
35437,38887,1
23487,30986,1
7812,4868,1
39518,14904,1
39827,39827,3
6550,39827,2
39569,39569,1
31731,31731,1
14904,1330,1
38887,10049,1
12448,33812,1
10216,40270,1
40240,1330,3
36977,40388,1
8660,40184,1
910,25394,1
31046,31046,6
40584,40584,1
40388,40391,1
40391,40391,2
26493,13727,2
40720,40720,2
6550,40720,1
40813,40813,1
38226,38887,1
40879,33812,1
40951,40951,3
33812,13281,1
39234,33812,1
39934,39934,2
1424,40962,1
40962,40962,1
33120,33120,2
38791,38791,3
41196,41196,1
1424,41200,1
41200,41200,1
39590,39590,4
381,41344,1
40584,29451,1
29451,29451,6
41414,38892,1
20589,20589,3
836,41557,5
38506,38506,10
41525,41620,1
14588,41597,1
41663,38887,2
37946,37946,1
41220,40853,3
836,41736,4
38887,16416,1
15412,41843,1
41854,41854,1
41886,41886,14
37184,41894,1
8005,41894,1
32860,41886,2
381,41913,1
41948,41948,1
16853,28175,3
24162,24162,13
381,42009,1
2968,40853,1
41886,14904,1
42210,42210,4
42225,42225,1
42275,14904,3
44131,29064,1
31704,29064,1
30507,42298,1
15412,42345,1
381,7812,2
42510,41728,2
41072,41072,3
17618,17618,3
41728,41728,26
16368,16368,5
41728,28175,2
23305,43040,1
381,43040,1
26329,26329,3
43159,43159,1
42969,14904,1
2968,15402,1
43325,43325,2
32697,40515,1
43000,40515,1
2968,13034,1
43444,43444,1
43508,43508,2
43511,43511,1
43513,43513,1
43215,43215,3
43438,43438,6
42945,28175,3
38503,38503,1
43890,43890,1
2532,43890,1
27237,28175,2
29587,40801,1
27108,27108,5
42904,30359,4
30359,30359,4
44057,44057,1
29575,29575,3
31434,43875,1
4683,924,2
43977,924,1
4683,4683,38
381,39331,2
73930,39331,1
44189,43294,1
33245,44204,1
2932,44319,1
10522,40853,2
29587,32420,2
32420,32420,2
836,42953,5
44114,44610,1
44610,44114,6
40277,40277,3
2869,16368,1
381,41156,1
4683,8878,1
38390,38390,1
14360,45005,1
24129,836,1
45107,45107,2
45071,45086,1
10522,23204,1
45148,45148,1
45178,43294,1
381,45206,1
44299,44299,5
42460,45360,1
26394,39814,1
26394,7812,1
836,15828,1
45488,45488,2
23305,44190,1
15613,33603,3
3591,15141,1
17208,17208,17
836,1426,1
45957,13259,1
12981,836,1
45907,28175,1
64270,28175,1
45224,45224,1
45901,15828,1
670,15828,1
46143,46143,5
8560,46143,2
44394,44394,5
34138,4683,1
27256,2452,1
4683,46288,1
46288,46288,2
836,38520,2
29134,29134,14
46288,924,2
53137,46488,1
18434,18434,8
39518,12515,1
46545,46545,1
28175,46567,1
46567,46567,1
33202,45494,1
46654,46654,1
43472,46542,1
46542,46542,1
381,32511,1
32697,44950,1
4683,38672,1
38672,38672,1
43870,39911,1
12217,45507,2
45507,45507,22
46055,46055,12
924,4683,2
44456,46433,1
46920,46920,1
46981,46981,1
31434,46981,1
43455,43455,12
35644,47110,2
44044,44044,2
45507,44044,1
45507,31434,2
47169,47169,6
45507,12345,1
35644,47212,2
47202,44680,1
44680,44680,13
45821,45821,7
23240,25867,1
47352,47352,1
47366,47366,1
47352,20492,2
20492,20492,15
14675,47497,1
40853,47500,1
47359,47359,11
35644,47531,2
29587,45519,1
35644,47728,3
39331,26562,1
47766,47766,1
47835,47835,1
47473,47473,1
4683,47473,1
27537,27537,3
38657,47959,1
45297,45297,1
43077,43294,1
38506,4683,1
38467,38467,4
40853,14427,2
27108,49230,1
836,2893,2
5268,12786,2
44139,33198,1
45431,45431,6
45216,45216,1
49620,49625,1
49625,49625,1
49826,49826,1
49787,8820,2
8560,18434,1
28175,46674,1
46674,46674,1
49923,49923,1
35644,43469,1
36977,49963,1
50007,836,2
35644,836,3
35644,49700,6
50162,50162,3
13023,49980,1
50154,50154,1
50257,50262,2
50262,50262,1
50312,50312,2
50528,26674,2
26674,26674,2
46652,50584,1
29587,21433,1
46054,1029,1
9257,47412,4
13023,47412,1
21433,29587,1
63112,29587,1
36977,50706,1
50706,50706,2
32958,32958,1
26202,28175,3
8560,28175,2
50831,50831,1
20492,924,1
50946,50946,4
51000,51000,3
51031,51031,1
50727,49293,1
49293,49293,5
37952,28175,1
51131,51131,2
40951,51131,1
10815,51131,1
924,29587,1
39007,39007,7
50727,50727,121
50146,50146,17
27250,14675,2
35644,51301,1
47488,47488,8
44394,28175,3
51223,13370,1
381,51478,1
45264,45264,218
381,51621,4
51601,51601,1
44039,44039,13
381,49102,1
26748,26748,1
27432,51798,1
50146,50727,3
51744,14006,1
51125,30034,1
51648,51648,1
35644,30962,1
51639,51639,1
38487,38487,1
45610,45610,29
35644,51931,1
37502,24593,2
12312,24593,1
44039,51589,1
51717,12312,1
12312,12312,1
35644,52121,2
21969,51988,1
52187,52187,4
50146,44039,3
51708,50727,3
16853,46375,1
47488,52390,1
35644,27702,1
51687,45264,4
52473,52473,1
45264,52494,1
50163,24593,1
38751,38751,2
35644,45713,1
47958,50727,1
47958,14560,1
29203,29203,1
38596,38596,1
8841,8841,1
52664,51209,1
51209,51209,23
35613,35613,2
60968,35613,1
35613,52089,2
52089,52089,44
15902,15902,4
29587,52713,1
52713,52713,1
35644,50353,1
46749,50353,1
75917,1330,1
44456,44456,56
16853,44456,1
51604,51604,1
53184,53184,1
52935,45374,1
45374,45374,25
42498,50727,1
53283,381,1
40788,40788,3
53300,18303,1
53278,52428,4
52428,52428,10
836,26187,1
96233,52428,1
28175,8560,9
53449,45264,1
44477,44477,4
43472,43472,8
47403,47403,4
52089,45264,3
35935,45064,1
53477,26193,1
13012,53001,7
47265,47265,1
47403,29587,2
53789,53793,3
471,53793,1
39223,45264,3
53872,20429,2
53818,8560,2
53900,1330,1
33609,8560,1
15569,44074,1
44074,44074,1
46375,53479,1
53479,53479,21
8560,53039,2
53039,53039,1
67971,37510,2
42044,42044,8
54180,45060,1
54030,54030,1
44139,8820,1
53976,53976,1
54420,47832,1
54491,54491,1
39518,24162,4
54299,54299,2
54581,54581,2
33202,82,2
82,82,2
51659,51659,8
35644,35386,2
54364,54364,1
54586,54836,1
381,5380,1
35364,54955,1
54961,54961,1
55049,55049,6
15569,15569,13
13672,44139,1
53793,46527,1
54922,54922,4
54737,45264,1
55096,836,1
55130,55130,1
56159,56159,6
51129,56192,1
44329,49932,1
49932,49932,1
44139,51129,3
53768,15569,2
55028,55028,1
56229,56229,1
44139,44688,3
45374,56406,1
53760,56406,1
56408,56408,1
56344,56344,2
